0:0:0:0:0:0:0:1 - - [18/Sep/2020:13:10:03 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [18/Sep/2020:13:10:04 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 381174
0:0:0:0:0:0:0:1 - - [18/Sep/2020:13:10:06 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 185161
0:0:0:0:0:0:0:1 - - [18/Sep/2020:13:10:09 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 381503
0:0:0:0:0:0:0:1 - - [18/Sep/2020:13:10:10 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 13674
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/m/Procedure?detail=2021 HTTP/1.1" 200 8059
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:30 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.getStrokeActions.dwr HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/m/Procedure?detail=2021 HTTP/1.1" 200 8059
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "POST /ProgrammaBiennale2020/dwr/call/plaincall/Module.request.dwr HTTP/1.1" 200 6139
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [18/Sep/2020:14:28:31 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
