127.0.0.1 - - [14/Jul/2021:14:51:55 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:04 +0200] "GET /ProgrammaBiennale2020/m/AccorpamentoProcedure HTTP/1.1" 200 8066
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/dwr-engine.js?ox=6.1.2 HTTP/1.1" 200 47370
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Module.js?ox=6.1.2 HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Folders.js?ox=6.1.2 HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/util.js?ox=6.1.2 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Modules.js?ox=6.1.2 HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/Tab.js?ox=6.1.2 HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/dwr/interface/View.js?ox=6.1.2 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/openxava.js?ox=6.1.2 HTTP/1.1" 200 40912
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/calendar.js?ox=6.1.2 HTTP/1.1" 200 49465
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/editors/calendar/lang/calendar-it.js?ox=6.1.2 HTTP/1.1" 200 3633
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/calendar.js?ox=6.1.2 HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.js?ox=6.1.2 HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery-ui.js?ox=6.1.2 HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [14/Jul/2021:15:03:05 +0200] "GET /ProgrammaBiennale2020/xava/js/jquery.sorttable.js?ox=6.1.2 HTTP/1.1" 200 8889
